ymd,dow,employees,dayoff,bustrip,overtime,remote,menu3,dn,rice,soup,side1,side2,side3,kimchi,atoffice
2016-02-01,0,2601,50,150,238,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장  자반고등어구이  두부조림  건파래무침  포기김치 (김치:국내산) ",331.0,쌀밥/잡곡밥,육개장,자반고등어구이,두부조림,건파래무침,포기김치,2401.0
2016-02-02,1,2601,50,173,319,0.0,"콩나물밥 (쌀,현미흑미:국내산) 어묵국  유산슬 (쇠고기:호주산) 아삭고추무침  바나나  포기김치 (배추,고추가루:국내산) ",560.0,콩나물밥,어묵국,유산슬,아삭고추무침,바나나,포기김치,2378.0
2016-02-03,2,2601,56,180,111,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 청국장찌개  황태양념구이 (황태:러시아산) 고기전 (돼지고기:국내산) 새송이버섯볶음  포기김치 (배추,고추가루:국내산) ",573.0,쌀밥/잡곡밥,청국장찌개,황태양념구이,고기전,새송이버섯볶음,포기김치,2365.0
2016-02-04,3,2601,104,220,355,0.0,"미니김밥 (쌀,현미흑미:국내산) 우동  멕시칸샐러드  군고구마  무피클  포기김치 (배추,고추가루:국내산) ",525.0,미니김밥,우동,멕시칸샐러드,군고구마,무피클,포기김치,2277.0
2016-02-05,4,2601,278,181,34,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 닭갈비 (닭고기:국내산) 감자소세지볶음  콩나물무침  포기김치 (배추,고추가루:국내산) ",330.0,쌀밥/잡곡밥,차돌박이찌개,닭갈비,감자소세지볶음,콩나물무침,포기김치,2142.0
2016-02-11,3,2601,383,143,417,0.0,"참치회덮밥 (쌀,현미흑미:국내산) 맑은국  군만두  과일샐러드  락교  포기김치 (김치:국내산) ",550.0,참치회덮밥,맑은국,군만두,과일샐러드,락교,포기김치,2075.0
2016-02-12,4,2601,389,156,93,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 김치콩나물국  미니함박  어묵볶음  물파래무침  깍두기 (김치:국내산) ",598.0,쌀밥/잡곡밥,김치콩나물국,미니함박,어묵볶음,물파래무침,깍두기,2056.0
2016-02-15,0,2601,87,204,482,0.0,"쌀밥/잡곡밥 (쌀:국내산) 홍합미역국  등갈비김치찜 (돼지고기,김치:국내산) 임연수구이  브로컬리초장  포기김치 (김치:국내산) ",672.0,쌀밥/잡곡밥,홍합미역국,등갈비김치찜,임연수구이,브로컬리초장,포기김치,2310.0
2016-02-16,1,2601,72,236,526,0.0,쌀밥/잡곡밥 (쌀:국내산) 된장찌개  쇠불고기 (쇠고기:호주산) 해파리겨자채  봄동무침  포기김치 (김치:국내산) ,523.0,쌀밥/잡곡밥,된장찌개,쇠불고기,해파리겨자채,봄동무침,포기김치,2293.0
2016-02-17,2,2601,78,250,23,0.0,볶음밥 (쌀:국내산) 맑은국  새우또띠아  쨔샤이무침  요플레  포기김치 (김치:국내산) ,588.0,볶음밥,맑은국,새우또띠아,쨔샤이무침,요플레,포기김치,2273.0
2016-02-18,3,2601,77,254,367,0.0,쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  명태조림 (명태:러시아산) 감자채볶음  쌈만두  포기김치 (김치:국내산) ,489.0,쌀밥/잡곡밥,순두부찌개,명태조림,감자채볶음,쌈만두,포기김치,2270.0
